,0,1,2,3,4,5,6,7
0,0.024231806,0.024231806,0.02101533,0.02101533,0.022713002,0.022281304,0.02580126,0.023894876
1,0.014986537,0.014986537,0.023821196,0.023821196,0.01942023,0.02005246,0.020651946,0.019380193
2,0.02107732,0.02107732,0.024634259,0.024634259,0.02138654,0.021690404,0.02276128,0.02176281
3,0.018119203,0.018119203,0.025424737,0.021110168,0.017980296,0.018298175,0.020617431,0.019499779
4,0.021807468,0.021807468,0.024871295,0.024871295,0.021653676,0.021066638,0.021457098,0.020877456
5,0.01893861,0.01893861,0.0407441,0.0407441,0.019709647,0.019685978,0.023604708,0.023404865
6,0.021474369,0.021474369,0.025713973,0.025713973,0.021136368,0.02161203,0.022734394,0.022665394
7,0.020419482,0.020419482,0.022636807,0.022636807,0.020806398,0.01991087,0.02295639,0.022601072
8,0.024099478,0.024099478,0.022984872,0.022084892,0.019543674,0.02042093,0.024022736,0.020533444
9,0.020779803,0.020779803,0.02170187,0.02170187,0.01791039,0.017115466,0.022723028,0.020798218
10,0.02267156,0.02267156,0.02478249,0.02478249,0.021888867,0.021995509,0.024587587,0.024862304
11,0.029690972,0.029690972,0.020462485,0.020462485,0.022166587,0.02056043,0.020056061,0.020110348
12,0.024010725,0.024010725,0.01796722,0.019143473,0.017115392,0.01764579,0.020088313,0.018421376
13,0.02361425,0.021388423,0.03916907,0.017865494,0.019107146,0.019836843,0.021963505,0.018729152
14,0.02008144,0.02008144,0.024057517,0.024057517,0.019561185,0.019105773,0.021999905,0.021543426
15,0.017548619,0.017548619,0.022224236,0.022224236,0.01917655,0.018094352,0.019456193,0.019458916
16,0.021047492,0.032334547,0.033215366,0.033215366,0.031407136,0.032639574,0.026579164,0.033369888
17,0.019235209,0.019235209,0.020293161,0.020293161,0.02109361,0.019425578,0.022382542,0.02143605
18,0.019613357,0.019613357,0.02193423,0.02193423,0.019148216,0.019370772,0.02070802,0.020428067
19,0.016499622,0.016499622,0.018250542,0.018250542,0.017177938,0.017733198,0.018298332,0.018014818
20,0.020335833,0.020335833,0.018129883,0.018129883,0.017103054,0.01674234,0.018264087,0.01881893
